Time      Power          Hist_Power     FR_Position    CR_Position    RHO            InsertRho      
0.00      1.776991e-09   1.778280e-09   0.0000         22.6000        -1.4607        1017.4778      
1.00      1.777511e-09   1.023290e-09   0.5000         22.6000        -0.0655        1018.8730      
2.00      1.780349e-09   1.708050e-09   0.8600         22.6000        0.9391         1019.8775      
3.01      1.785109e-09   1.766514e-09   1.3935         22.6000        2.4277         1021.3662      
4.01      1.789339e-09   1.617148e-09   1.7434         22.6000        3.4041         1022.3426      
5.01      1.793898e-09   2.072560e-09   2.0851         22.6000        4.3576         1023.2960      
6.01      1.800162e-09   1.608597e-09   2.5933         22.6000        5.7757         1024.7141      
7.01      1.805781e-09   2.136419e-09   2.9250         22.6000        6.7012         1025.6397      
8.01      1.813012e-09   1.978594e-09   3.4234         22.6000        8.0920         1027.0304      
9.01      1.819684e-09   1.468212e-09   3.7633         22.6000        9.0404         1027.9789      
10.01     1.826928e-09   2.057985e-09   4.0950         22.6000        10.1172        1029.0557      
11.01     1.837859e-09   1.334114e-09   4.5934         22.6000        12.3012        1031.2397      
12.01     1.848060e-09   2.143856e-09   4.9351         22.6000        13.7986        1032.7370      
13.01     1.860977e-09   1.510835e-09   5.4433         22.6000        16.0255        1034.9640      
14.01     1.872822e-09   2.093529e-09   5.7750         22.6000        17.4790        1036.4175      
15.01     1.887334e-09   1.325495e-09   6.2733         22.6000        19.6626        1038.6011      
16.01     1.900812e-09   2.036114e-09   6.6033         22.6000        21.1087        1040.0471      
17.01     1.914766e-09   1.488446e-09   6.9350         22.6000        22.5622        1041.5007      
18.00     1.931372e-09   2.412680e-09   7.4300         22.6000        24.7313        1043.6698      
19.00     1.946968e-09   1.462180e-09   7.7500         22.6000        26.1336        1045.0720      
20.00     1.968820e-09   2.385060e-09   8.2400         22.6000        29.5297        1048.4682      
21.00     1.992867e-09   1.575800e-09   8.5700         22.6000        32.6931        1051.6315      
22.00     2.018730e-09   2.398830e-09   8.9000         22.6000        35.8565        1054.7949      
23.00     2.051244e-09   2.053530e-09   9.3800         22.6000        40.4577        1059.3962      
24.00     2.082088e-09   2.555640e-09   9.7000         22.6000        43.5253        1062.4637      
25.00     2.119844e-09   2.089300e-09   10.1800        22.6000        48.1265        1067.0650      
26.00     2.155857e-09   2.754230e-09   10.5000        22.6000        51.1941        1070.1325      
27.00     2.193610e-09   2.304090e-09   10.8200        22.6000        54.2616        1073.2000      
28.00     2.239085e-09   1.364580e-09   11.3000        22.6000        58.8629        1077.8013      
29.00     2.282521e-09   2.426610e-09   11.6100        22.6000        61.8345        1080.7730      
30.00     2.333902e-09   1.575800e-09   12.0800        22.6000        66.3598        1085.2983      
31.00     2.383410e-09   2.555640e-09   12.3800        22.6000        69.3102        1088.2487      
32.00     2.435854e-09   1.778280e-09   12.7000        22.6000        72.4574        1091.3958      
33.00     2.496988e-09   2.968250e-09   13.1600        22.6000        76.9813        1095.9198      
34.00     2.556380e-09   1.961100e-09   13.4600        22.6000        79.9317        1098.8702      
35.00     2.620173e-09   3.292310e-09   13.8000        22.6000        83.2755        1102.2140      
36.00     2.681804e-09   2.398830e-09   14.0100        22.6000        85.3408        1104.2793      
37.00     2.745707e-09   3.487390e-09   14.2300        22.6000        87.5045        1106.4429      
38.00     2.816880e-09   2.630270e-09   14.5500        22.6000        90.6516        1109.5900      
39.00     2.884553e-09   3.845920e-09   14.7100        22.6000        92.2251        1111.1636      
40.00     2.948693e-09   3.090300e-09   14.7700        22.6000        92.8152        1111.7537      
41.00     3.013612e-09   4.073800e-09   14.8400        22.6000        93.5036        1112.4421      
42.00     3.079963e-09   3.368990e-09   14.9200        22.6000        94.2904        1113.2289      
43.00     3.145404e-09   4.144770e-09   14.9600        22.6000        94.6838        1113.6223      
44.01     3.211558e-09   3.419256e-09   14.9902        22.6000        94.9808        1113.9193      
45.01     3.277261e-09   2.595695e-09   15.0100        22.6000        95.2008        1114.1393      
46.01     3.342310e-09   3.622494e-09   15.0099        22.6000        95.1996        1114.1380      
47.01     3.406926e-09   2.811989e-09   15.0000        22.6000        95.0772        1114.0156      
48.01     3.472508e-09   3.771781e-09   15.0000        22.6000        95.0772        1114.0156      
49.01     3.538673e-09   2.963868e-09   15.0000        22.6000        95.0772        1114.0156      
50.01     3.605460e-09   4.205350e-09   15.0000        22.6000        95.0772        1114.0156      
51.01     3.672924e-09   3.067772e-09   15.0000        22.6000        95.0772        1114.0156      
52.01     3.741114e-09   4.329058e-09   15.0000        22.6000        95.0772        1114.0156      
53.01     3.810077e-09   3.246982e-09   15.0000        22.6000        95.0772        1114.0156      
54.01     3.879855e-09   4.338869e-09   15.0000        22.6000        95.0772        1114.0156      
55.01     3.950489e-09   4.221844e-09   15.0000        22.6000        95.0772        1114.0156      
