Time      Power          Hist_Power     FR_Position    CR_Position    RHO            InsertRho      
0.00      2.317496e-09   2.317400e-09   0.0300         22.6200        0.0837         1019.0222      
1.00      2.318813e-09   1.420690e-09   0.1400         22.6200        0.3907         1019.3291      
2.00      2.322683e-09   2.200390e-09   0.5000         22.6200        1.3952         1020.3337      
3.01      2.329350e-09   2.173983e-09   1.0536         22.6200        2.9400         1021.8784      
4.01      2.335267e-09   2.061669e-09   1.4135         22.6200        3.9442         1022.8827      
5.01      2.341622e-09   2.861714e-09   1.7652         22.6200        4.9256         1023.8641      
6.01      2.350213e-09   2.297644e-09   2.2835         22.6200        6.3719         1025.3103      
7.01      2.358075e-09   2.961875e-09   2.6352         22.6200        7.3533         1026.2917      
8.01      2.368080e-09   2.336805e-09   3.1535         22.6200        8.7995         1027.7380      
9.01      2.377287e-09   2.927058e-09   3.5035         22.6200        9.7762         1028.7146      
10.01     2.386883e-09   2.219315e-09   3.8552         22.6200        10.7575        1029.6960      
11.01     2.400778e-09   2.828820e-09   4.3735         22.6200        12.7983        1031.7367      
12.01     2.414447e-09   2.256995e-09   4.7252         22.6200        14.3395        1033.2779      
13.01     2.431724e-09   2.780518e-09   5.2434         22.6200        16.6102        1035.5487      
14.01     2.447636e-09   2.233637e-09   5.5835         22.6200        18.1006        1037.0390      
15.01     2.464391e-09   2.995110e-09   5.9350         22.6200        19.6408        1038.5793      
16.01     2.484519e-09   2.259333e-09   6.4334         22.6200        21.8248        1040.7633      
17.01     2.503466e-09   3.014017e-09   6.7749         22.6200        23.3213        1042.2598      
18.00     2.525473e-09   2.426610e-09   7.2600         22.6200        25.4470        1044.3855      
19.00     2.546430e-09   3.126080e-09   7.5900         22.6200        26.8931        1045.8316      
20.00     2.572548e-09   2.600160e-09   8.0900         22.6200        29.5525        1048.4909      
21.00     2.603575e-09   3.037390e-09   8.4200         22.6200        32.7159        1051.6543      
22.00     2.637114e-09   2.398830e-09   8.7500         22.6200        35.8792        1054.8177      
23.00     2.679395e-09   3.235940e-09   9.2300         22.6200        40.4805        1059.4190      
24.00     2.719948e-09   2.585240e-09   9.5600         22.6200        43.6439        1062.5824      
25.00     2.769258e-09   3.467370e-09   10.0400        22.6200        48.2452        1067.1836      
26.00     2.816286e-09   2.426610e-09   10.3600        22.6200        51.3127        1070.2512      
27.00     2.866043e-09   3.427680e-09   10.6900        22.6200        54.4761        1073.4145      
28.00     2.925592e-09   2.754230e-09   11.1700        22.6200        59.0774        1078.0158      
29.00     2.982933e-09   3.467370e-09   11.4900        22.6200        62.1449        1081.0833      
30.00     3.050751e-09   2.867480e-09   11.9700        22.6200        66.7462        1085.6846      
31.00     3.116791e-09   3.736800e-09   12.2900        22.6200        69.8858        1088.8243      
